Team Name,Short Name,Full Name,Logo,Conference,League,City,State
Brown,Brown,Brown,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/brown.svg,Ivy League,NCAA MD1,Providence,RI
Cornell,Cornell,Cornell,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/cornell.svg,Ivy League,NCAA MD1,Ithaca,NY
Dartmouth,Dartmouth,Dartmouth,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/dartmouth.svg,Ivy League,NCAA MD1,Hanover,NH
Harvard,Harvard,Harvard,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/harvard.svg,Ivy League,NCAA MD1,Boston,MA
Penn,Penn,Penn,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/penn.svg,Ivy League,NCAA MD1,Philadelphia,PA
Princeton,Princeton,Princeton,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/princeton.svg,Ivy League,NCAA MD1,Princeton,NJ
Yale,Yale,Yale,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/yale.svg,Ivy League,NCAA MD1,New Haven,CT
Canisius,Canisius,Canisius,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/canisius.svg,MAAC,NCAA MD1,Buffalo,NY
LIU,Long Island,Long Island,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/long-island.svg,MAAC,NCAA MD1,Brookville,NY
Manhattan,Manhattan,Manhattan,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/manhattan.svg,MAAC,NCAA MD1,Riverdale,NY
Marist,Marist,Marist,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/marist.svg,MAAC,NCAA MD1,Poughkeepsie,NY
Mount-St.-Mary's,Mount Saint Mary's,Mount Saint Mary's,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/mt-st-marys.svg,MAAC,NCAA MD1,Emmitsburg,MD
Quinnipiac,Quinnipiac,Quinnipiac,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/quinnipiac.svg,MAAC,NCAA MD1,Hamden,CT
Sacred-Heart,Sacred Heart,Sacred Heart,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/sacred-heart.svg,MAAC,NCAA MD1,Fairfield,CT
Siena,Siena,Siena,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/siena.svg,MAAC,NCAA MD1,Loudonville,NY
VMI,VMI,Virginia Military Institute,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/vmi.svg,MAAC,NCAA MD1,Lexington,VA
Wagner,Wagner,Wagner,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/wagner.svg,MAAC,NCAA MD1,Staten Island,NY
Army-West-Point,Army,Army,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/army.svg,Patriot League,NCAA MD1,West Point,NY
Boston-U.,Boston,Boston,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/boston-u.svg,Patriot League,NCAA MD1,Boston,MA
Bucknell,Bucknell,Bucknell,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/bucknell.svg,Patriot League,NCAA MD1,Lewisburg,PA
Colgate,Colgate,Colgate,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/colgate.svg,Patriot League,NCAA MD1,Hamilton,NY
Holy-Cross,Holy Cross,Holy Cross,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/holy-cross.svg,Patriot League,NCAA MD1,Worcester,MA
Lafayette,Lafayette,Lafayette,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lafayette.svg,Patriot League,NCAA MD1,Easton,PA
Lehigh,Lehigh,Lehigh,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lehigh.svg,Patriot League,NCAA MD1,Bethlehem,PA
Loyola-Maryland,Loyola,Loyola,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/loyola-maryland.svg,Patriot League,NCAA MD1,Baltimore,MD
Navy,Navy,Navy,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/navy.svg,Patriot League,NCAA MD1,Annapolis,MD
Bridgeport,Bridgeport,Bridgeport,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/bridgeport.svg,CACC,NCAA MD2,Bridgeport,CT
Chestnut-Hill,Chestnut Hill,Chestnut Hill,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/chestnut-hill.svg,CACC,NCAA MD2,Philadelphia,PA
Dominican-(NY),Dominican (NY),Dominican (NY),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/dominican-ny.svg,CACC,NCAA MD2,Orangeburg,NY
Felician,Felician,Felician,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/felician.svg,CACC,NCAA MD2,Rutherford,NJ
Georgian-Court,Georgian Court,Georgian Court,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/georgian-court.svg,CACC,NCAA MD2,Lakewood,NJ
Post,Post,Post,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/post.svg,CACC,NCAA MD2,Waterbury,CT
Wilmington-(DE),Wilmington (DE),Wilmington (DE),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/wilmington-de.svg,CACC,NCAA MD2,New Castle,DE
Barton,Barton,Barton,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/barton.svg,Carolinas,NCAA MD2,Wilson,NC
Belmont-Abbey,Belmont Abbey,Belmont Abbey,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/belmont-abbey.svg,Carolinas,NCAA MD2,Belmont,NC
Chowan,Chowan,Chowan,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/chowan.svg,Carolinas,NCAA MD2,Murfreesboro,NC
Emmanuel-(GA),Emmanuel (GA),Emmanuel (GA),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/emmanuel-ga.svg,Carolinas,NCAA MD2,Franklin Springs,GA
Lees-McRae,Lees McRae,Lees McRae,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lees-mcrae.svg,Carolinas,NCAA MD2,Banner Elk,NC
Mount-Olive,Mount Olive,Mount Olive,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/mount-olive.svg,Carolinas,NCAA MD2,Mount Olive,NC
North-Greenville,North Greenville,North Greenville,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/north-greenville.svg,Carolinas,NCAA MD2,Tigerville,SC
